x,y,z,qx,qy,qz,qw,speed
89658.200000,43143.900000,0.000000,0,0,-0.883,0.469374,8.333330
89656.800000,43140.900000,0.000000,0,0,-0.767497,0.641053,8.333333
89656.200000,43137.900000,0.000000,0,0,-0.718782,0.695236,8.333333
89656.100000,43134.700000,0.000000,0,0,-0.665463,0.746431,8.333333
89656.400000,43132.100000,0.000000,0,0,-0.71985,0.694129,8.333333
89656.684744,43129.087005,6.500000,0,0,0.9622,0.272343,8.333333
89655.711084,43126.019976,6.500000,8.333333
89653.228252,43124.802902,6.500000,8.333333
89650.161223,43123.634510,6.500000,8.333333
89646.656048,43122.806899,6.500000,8.333333
89643.735069,43122.466118,6.500000,8.333333
89640.862773,43122.612167,6.500000,8.333333
89636.724719,43123.391095,0.000000,8.333333
